id,date,len,postags,decade_group,ndd,mdd,height,left_child_ratio,k_ary,num_leaves,n_num_crossing,degree_var,degree_mean,depth_var,depth_mean,topo_edit_distance
1860-4383,1867-10-23,12,0-1-1-0-0-0-1-0-0-3-3-1-1-0-0,1860,1.1886379927978175,3.5,4.0,0.9166666666666666,5,7,0.0,2.4462809917355375,0.9090909090909091,0.6115702479338843,1.4545454545454546,3
1860-96980,1867-10-25,12,0-1-1-0-0-0-1-0-1-2-2-1-2-0-0,1860,1.119645121310866,3.75,3.0,0.8333333333333334,6,8,0.0,3.1735537190082628,0.9090909090909091,0.38016528925619836,1.2727272727272727,4
1860-5998,1867-10-26,11,0-1-2-0-0-0-0-0-0-3-3-1-0-0-0,1860,1.548283664645143,1.7272727272727273,4.0,0.7083333333333333,3,6,0.0,1.2900000000000003,0.9,0.8099999999999999,1.7,3
1860-34230,1867-10-3,11,0-1-1-0-0-0-1-0-1-2-2-1-1-0-0,1860,1.1646165172384686,3.272727272727273,4.0,0.9166666666666666,4,7,0.0,2.4899999999999998,0.9,0.65,1.5,3
1860-27843,1867-10-4,10,0-1-1-0-0-0-1-0-0-2-2-2-1-0-0,1860,1.168736175997243,2.6,3.0,0.9444444444444445,6,7,0.0,3.2900000000000005,0.9,0.36000000000000004,1.2,2
1860-110299,1867-10-7,12,0-1-1-0-0-0-1-0-1-2-2-2-1-0-0,1860,1.6304707450768565,2.25,4.0,0.8888888888888888,5,8,0.0,2.6280991735537187,0.9090909090909091,0.793388429752066,1.5454545454545454,4
1860-11779,1867-10-7,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.6275074357420367,0.8333333333333334,3.0,0.8333333333333334,2,2,0.0,0.56,0.8,0.56,1.2,2
1860-43845,1867-10-8,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.0883026450667417,1.1666666666666667,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1860-95208,1867-10-8,11,0-1-1-0-0-0-1-0-1-2-2-1-1-0-0,1860,1.2516278942280985,3.0,3.0,1.0,5,7,0.0,2.4899999999999998,0.9,0.41,1.3,2
1860-92666,1867-10-8,11,0-1-1-0-0-0-0-0-1-2-2-1-2-0-0,1860,1.2557772956354458,1.6363636363636365,4.0,0.75,4,7,0.0,2.4899999999999998,0.9,0.65,1.5,4
1860-108145,1867-2-25,11,0-1-1-0-0-0-0-0-1-2-3-1-1-0-0,1860,0.8079222835483788,2.090909090909091,4.0,0.7291666666666666,4,6,0.0,1.89,0.9,0.65,1.5,4
1860-80080,1867-3-11,11,0-1-1-0-0-0-0-0-2-2-2-1-1-0-0,1860,0.9476842259235376,1.8181818181818181,5.0,0.7499999999999999,3,6,0.0,1.4900000000000002,0.9,1.6,2.0,4
1860-108646,1867-3-12,11,0-1-1-0-0-0-1-0-1-2-3-1-0-0-0,1860,1.4159309455193747,2.5454545454545454,4.0,0.9375,4,6,0.0,1.89,0.9,0.6400000000000001,1.6,3
1860-72168,1867-3-12,13,0-1-1-0-0-0-1-0-1-2-2-2-1-0-0,1860,1.59613223758581,1.4615384615384615,4.0,0.7291666666666666,4,7,0.0,1.9008264462809914,0.9090909090909091,0.7438016528925622,1.7272727272727273,4
1860-27261,1867-3-15,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.6275074357420367,0.8333333333333334,3.0,0.6666666666666666,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1860-64857,1867-3-15,6,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.6275074357420367,0.8333333333333334,3.0,0.6666666666666666,3,3,0.0,1.3600000000000005,0.8,0.4,1.0,2
1860-66125,1867-3-15,11,0-1-2-0-0-0-0-0-0-3-3-1-0-0-0,1860,1.6595092997553673,1.5454545454545454,4.0,0.6666666666666666,3,5,0.0,1.0900000000000003,0.9,0.8099999999999999,1.7,5
1860-3542,1867-3-18,11,0-1-1-0-0-0-0-0-1-2-3-1-1-0-0,1860,1.0530447415813637,1.6363636363636365,4.0,0.6875,4,6,0.0,1.69,0.9,0.8400000000000001,1.6,4
1860-30857,1867-3-19,11,0-1-1-0-0-0-0-0-1-2-2-1-2-0-0,1860,0.33874637117607365,2.3636363636363638,4.0,0.5555555555555555,4,7,0.0,2.09,0.9,0.8399999999999999,1.6,4
1860-7325,1867-3-19,8,0-1-1-0-0-0-0-0-0-1-1-1-0-0-0,1860,1.3862943611198906,1.0,3.0,0.5,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,4
1860-7328,1867-3-19,11,0-1-1-0-0-0-1-0-1-1-1-2-2-0-0,1860,1.2217749310784172,3.090909090909091,3.0,1.0,5,7,0.0,2.69,0.9,0.41,1.3,2
1860-82977,1867-3-19,11,0-1-1-0-0-0-1-0-0-2-2-1-2-0-0,1860,1.0845738095649322,3.5454545454545454,3.0,1.0,6,7,0.0,3.2900000000000005,0.9,0.36000000000000004,1.2,2
