id,date,len,postags,decade_group,ndd,mdd,height,left_child_ratio,k_ary,num_leaves,n_num_crossing,degree_var,degree_mean,depth_var,depth_mean,topo_edit_distance
1800-50685,1804-04-09,11,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-0,1800,1.6032266524348218,1.8,4.0,0.8333333333333333,3,6,0.0,1.4900000000000002,0.9,0.8099999999999999,1.7,4
1800-63827,1804-04-09,6,1-0-0-1-0-1-0-0-0-0-0-0-1-0-0-1,1800,0.81482030987581,1.4,3.0,0.75,2,3,0.0,0.9600000000000002,0.8,0.56,1.2,2
1800-59419,1804-04-09,6,0-0-1-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,1.1613939001557827,1.4,2.0,0.75,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-2916,1804-04-09,11,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-0,1800,1.6032266524348218,1.8,4.0,0.8333333333333333,3,6,0.0,1.4900000000000002,0.9,0.8099999999999999,1.7,4
1800-52995,1804-04-09,6,0-0-1-1-0-0-0-0-0-0-0-0-2-0-0-1,1800,1.1613939001557827,1.4,2.0,0.75,4,4,0.0,2.560000000000001,0.8,0.16000000000000006,0.8,2
1800-52247,1804-04-09,11,2-1-0-1-0-2-0-0-1-0-0-0-1-0-0-2,1800,1.2566530621548493,1.8,4.0,0.8541666666666666,4,6,0.0,1.89,0.9,0.8400000000000001,1.6,4
1800-33658,1804-05-03,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,1.0397207708399179,1.5,3.0,0.8333333333333333,3,4,0.0,1.472222222222222,0.8333333333333334,0.47222222222222227,1.1666666666666667,2
1800-32633,1804-05-03,11,3-0-0-0-0-3-0-0-2-0-0-0-1-0-0-1,1800,0.7094087764127253,2.2,4.0,0.75,3,6,0.0,1.4900000000000002,0.9,0.8099999999999999,1.7,4
1800-44944,1804-05-03,11,2-0-0-0-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.5505463946059086,1.5,4.0,0.7916666666666666,3,6,0.0,1.2900000000000003,0.9,0.8099999999999999,1.7,4
1800-27618,1804-05-03,11,2-0-0-0-0-3-1-0-2-0-0-0-1-0-0-1,1800,1.5505463946059086,1.5,4.0,0.7916666666666666,3,6,0.0,1.2900000000000003,0.9,0.8099999999999999,1.7,4
1800-46737,1804-05-03,11,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-0,1800,1.3141576165416782,1.9,4.0,0.7666666666666666,5,7,0.0,2.4899999999999998,0.9,0.85,1.5,4
1800-57869,1804-05-03,7,1-0-0-1-0-1-0-0-1-0-0-0-1-0-0-1,1800,0.853300830443874,2.3333333333333335,3.0,0.6666666666666666,3,3,0.2,1.1388888888888888,0.8333333333333334,0.47222222222222215,1.1666666666666667,4
1800-20355,1804-05-03,12,2-0-0-1-0-3-0-0-2-0-0-0-1-0-0-1,1800,1.3947287378687716,2.6,4.0,0.8333333333333334,5,7,0.0,2.4899999999999998,0.9,0.85,1.5,4
1800-1254,1804-05-03,11,2-0-0-1-0-3-1-0-2-0-0-0-1-0-0-0,1800,1.3141576165416782,1.9,4.0,0.7666666666666666,5,7,0.0,2.4899999999999998,0.9,0.85,1.5,4
