id,date,len,MDD,NDD,Height,Ratio$_{head-final}$,treeDegree,#Leaves,degreeVar,degreeMean,depthVar,depthMean,d$_{head-final}$,#Crossings,Height$_{dependency}$,d$_{root}$,d$_{randomTree}$
1860-103303,1867-02-27,71,4.781818181818182,2.253313954744393,8.0,0.5717261904761904,7,31,2.3032525510204076,0.9821428571428571,3.3099489795918364,3.892857142857143,33,0,92,37,92.0
1860-47474,1867-02-27,30,5.416666666666667,0.9596780631663815,5.0,0.7,7,16,3.2384000000000004,0.96,1.1199999999999999,2.2,7,0,52,8,38.0
1860-51738,1867-02-27,6,2.25,0.7985076962177716,3.0,1.0,3,3,1.3600000000000005,0.8,0.4,1.0,2,0,9,5,5.0
1860-34335,1867-02-27,5,1.3333333333333333,0.7520386983881372,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,2,6.0
1860-103298,1867-02-27,40,7.0,0.8992695781067168,6.0,0.8333333333333333,6,24,2.512783053323594,0.972972972972973,1.2680788897005113,2.5945945945945947,33,5,68,8,52.0
1860-99357,1867-02-27,11,2.25,0.6342556627317535,4.0,0.8125,4,5,1.654320987654321,0.8888888888888888,0.6913580246913581,1.4444444444444444,2,0,13,2,12.0
1860-87355,1867-02-28,62,4.1454545454545455,1.6892756903137145,9.0,0.8385416666666666,10,40,4.517538265306123,0.9821428571428571,3.474170918367347,3.0892857142857144,15,0,72,9,78.0
1860-66466,1867-02-28,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-34969,1867-02-28,32,4.551724137931035,1.467567276961949,6.0,0.8095238095238094,7,18,2.498888888888887,0.9666666666666667,1.3555555555555556,2.3333333333333335,10,0,41,13,40.0
1860-39111,1867-02-28,60,4.134615384615385,1.1150577915638802,8.0,0.691156462585034,7,32,2.6222855108579575,0.9811320754716981,2.8593805624777504,3.6792452830188678,20,0,69,3,76.0
1860-16007,1867-02-28,12,1.8888888888888888,1.4882588543046829,3.0,0.6666666666666666,4,7,2.4899999999999998,0.9,0.44000000000000006,1.4,4,0,13,7,13.0
1860-34968,1867-02-28,60,3.6153846153846154,1.7985600011956486,8.0,0.7724089635854342,7,36,3.0751156995372027,0.9811320754716981,2.315414738341047,3.792452830188679,23,4,61,9,77.0
1860-104037,1867-03-04,60,4.1875,1.6124185405722382,8.0,0.7081453634085213,7,28,2.5506039150354014,0.9795918367346939,2.360683048729696,2.9183673469387754,27,1,66,9,78.0
1860-107303,1867-03-04,62,3.660377358490566,1.5928055123849585,10.0,0.6573529411764706,8,35,3.3144718792866943,0.9814814814814815,5.488340192043897,4.7407407407407405,27,1,70,6,82.0
1860-21075,1867-03-04,61,4.660377358490566,1.3512753348203095,10.0,0.8535714285714285,7,36,3.499657064471879,0.9814814814814815,4.98113854595336,4.018518518518518,37,4,75,6,78.0
1860-9569,1867-03-04,21,3.6470588235294117,1.3502124743583923,5.0,0.7619047619047619,6,10,2.4969135802469133,0.9444444444444444,0.8395061728395062,1.7777777777777777,5,0,28,11,27.0
1860-99011,1867-03-04,52,4.069767441860465,1.3843886933432066,7.0,0.7477777777777777,6,27,2.476756198347107,0.9772727272727273,2.067665289256198,3.022727272727273,23,1,57,6,65.0
1860-65665,1867-03-04,11,2.25,0.8369882167858358,4.0,0.9,3,4,0.9876543209876544,0.8888888888888888,0.8395061728395062,1.7777777777777777,2,0,15,3,12.0
1860-96173,1867-03-04,5,1.3333333333333333,1.0986122886681098,3.0,1.0,2,2,0.6875,0.75,0.5,1.0,2,0,7,4,4.0
1860-104627,1867-03-04,21,3.0,1.2424533248940002,6.0,0.738095238095238,5,11,2.2746913580246915,0.9444444444444444,1.9135802469135799,2.5555555555555554,10,1,30,6,29.0
1860-118554,1867-03-04,12,2.125,1.4434527749598391,5.0,0.5,2,3,0.7654320987654322,0.8888888888888888,1.654320987654321,2.111111111111111,8,0,21,9,11.0
1860-40847,1867-03-04,30,5.36,1.6337322089212674,11.0,0.4469696969696969,4,15,1.729289940828402,0.9615384615384616,10.965976331360947,4.730769230769231,18,0,68,29,38.0
1860-24806,1867-03-04,70,4.32258064516129,1.1570209120640562,7.0,0.7451388888888889,6,38,2.491811539430588,0.9841269841269841,1.6437389770723103,3.4444444444444446,26,0,73,3,90.0
1860-112755,1867-03-06,7,1.8,1.2039728043259361,4.0,0.8333333333333334,2,3,0.8055555555555555,0.8333333333333334,0.9166666666666666,1.5,4,0,13,6,7.0
1860-112749,1867-03-06,7,2.0,0.4581453659370775,2.0,0.25,4,3,2.560000000000001,0.8,0.16000000000000006,0.8,2,0,6,2,6.0
1860-77049,1867-03-06,72,5.379310344827586,1.5986618695837969,6.0,0.7448979591836734,7,37,2.423441539787418,0.9830508474576272,1.2128698649813268,2.7966101694915255,40,7,87,12,93.0
1860-86209,1867-03-06,5,1.3333333333333333,0.7520386983881372,3.0,0.75,2,2,0.6875,0.75,0.5,1.0,2,0,5,2,4.0
1860-27563,1867-03-06,50,5.785714285714286,0.4717818230695738,5.0,0.9029629629629631,9,28,3.883180097349918,0.9767441860465116,0.6901027582477015,2.2325581395348837,13,4,55,2,63.0
1860-27579,1867-03-06,21,5.6875,1.1762020245280347,3.0,0.8333333333333334,7,10,2.996539792387543,0.9411764705882353,0.3667820069204153,1.4705882352941178,9,1,39,20,26.0
1860-104412,1867-03-06,72,5.966666666666667,1.3678607965761658,6.0,0.7963636363636365,11,45,4.442354205858639,0.9836065573770492,1.476484815909702,2.639344262295082,29,7,76,9,91.0
1860-69979,1867-03-06,12,1.9,1.1063998945608453,4.0,0.7333333333333333,3,6,1.355371900826446,0.9090909090909091,0.5950413223140495,1.6363636363636365,4,0,11,3,11.0
1860-85032,1867-03-08,72,4.435483870967742,1.4778103851883142,8.0,0.844973544973545,7,45,3.666414714033764,0.9841269841269841,2.655076845553036,3.5873015873015874,32,7,81,6,97.0
1860-106943,1867-03-08,11,2.375,1.2733356220214231,5.0,0.41666666666666663,3,4,1.432098765432099,0.8888888888888888,1.2839506172839508,1.7777777777777777,5,0,19,8,11.0
1860-114199,1867-03-08,7,1.4,1.2525546785527597,3.0,0.6666666666666666,3,4,1.472222222222222,0.8333333333333334,0.47222222222222215,1.1666666666666667,2,0,7,4,8.0
1860-119125,1867-03-08,6,1.25,1.2747225854627857,3.0,0.75,2,3,0.9600000000000002,0.8,0.56,1.2,2,0,7,4,6.0
1860-72894,1867-03-08,21,3.1666666666666665,1.2154197142588623,4.0,0.9027777777777777,6,13,2.8919667590027704,0.9473684210526315,0.6925207756232687,1.7894736842105263,4,0,25,6,25.0
1860-37625,1867-03-08,30,4.037037037037037,1.4695388752619727,5.0,0.875,6,20,3.177295918367348,0.9642857142857143,1.1875,2.25,6,0,48,11,39.0
1860-78184,1867-03-09,70,4.67741935483871,1.9151151863802287,8.0,0.806122448979592,7,42,3.190224237843287,0.9841269841269841,2.101788863693625,2.8412698412698414,19,5,82,16,92.0
1860-97647,1867-03-09,11,2.142857142857143,1.3173014896329391,4.0,0.5,2,3,0.859375,0.875,0.9375,1.75,6,0,18,8,13.0
1860-81229,1867-03-09,70,4.629032258064516,2.2053217875688387,8.0,0.6645962732919254,7,40,2.6505416981607475,0.9841269841269841,3.1992945326278663,3.5555555555555554,27,1,77,28,91.0
1860-91784,1867-03-09,10,2.4285714285714284,0.8455647563989607,3.0,0.875,4,6,2.359375,0.875,0.4375,1.25,2,0,12,4,10.0
1860-81245,1867-03-09,70,3.806451612903226,1.0814435334952204,10.0,0.7376811594202899,6,40,2.777525825144873,0.9841269841269841,5.149407911312675,4.73015873015873,50,4,75,2,91.0
1860-50809,1867-03-09,31,3.9642857142857144,1.6926165849759973,4.0,0.9444444444444444,6,20,2.65398335315101,0.9655172413793104,0.6539833531510106,2.0344827586206895,4,0,42,16,36.0
1860-50785,1867-03-09,50,4.0,1.8483307972779957,9.0,0.6926984126984126,7,26,2.7669010275824775,0.9767441860465116,4.481341265548944,3.4651162790697674,20,8,61,15,65.0
1860-119438,1867-03-11,31,2.96,0.8904325909547446,7.0,0.5666666666666667,5,17,2.498520710059172,0.9615384615384616,2.455621301775148,3.076923076923077,10,0,30,2,39.0
1860-103385,1867-03-11,61,4.735849056603773,1.590623544199498,8.0,0.7198412698412698,5,33,2.3144718792866943,0.9814814814814815,2.561385459533607,3.3518518518518516,53,9,85,10,75.0
1860-110966,1867-03-11,71,5.389830508474576,1.0558055227965384,8.0,0.7365079365079366,5,39,2.616388888888888,0.9833333333333333,2.5541666666666667,3.25,43,4,73,4,93.0
1860-83578,1867-03-11,51,4.478260869565218,0.7724126188345158,8.0,0.7194444444444444,5,29,2.361249434133092,0.9787234042553191,2.3377093707559977,4.212765957446808,23,4,56,2,64.0
1860-110954,1867-03-11,71,5.5964912280701755,1.0012288508828606,8.0,0.7983333333333333,8,38,2.9824613555291317,0.9827586206896551,2.4414387633769317,3.1551724137931036,28,7,107,4,91.0
1860-80068,1867-03-11,50,4.714285714285714,1.2258823800496417,11.0,0.7166666666666667,6,26,2.3482963764196865,0.9767441860465116,7.3358572201189824,4.325581395348837,27,7,78,6,67.0
1860-18505,1867-03-11,15,2.727272727272727,1.4816045409242156,5.0,0.6666666666666666,3,8,1.743055555555556,0.9166666666666666,1.4722222222222223,2.1666666666666665,5,0,31,12,15.0
1860-18398,1867-03-11,60,4.196078431372549,2.2075737320807898,6.0,0.6841666666666667,5,31,2.365014792899408,0.9807692307692307,1.158284023668639,2.730769230769231,23,0,61,28,76.0
1860-83125,1867-03-11,41,3.9722222222222223,0.7727068547982876,5.0,0.7491341991341991,7,26,3.431701972242513,0.972972972972973,0.8677867056245436,2.324324324324324,13,0,41,2,53.0
1860-56376,1867-03-11,32,3.185185185185185,1.893886185958314,6.0,0.763888888888889,4,16,1.891581632653061,0.9642857142857143,1.6160714285714286,2.75,14,1,43,16,40.0
1860-119439,1867-03-11,40,4.264705882352941,1.7439074849684018,6.0,0.7055555555555556,5,23,2.3706122448979596,0.9714285714285714,1.4334693877551021,2.7714285714285714,15,3,55,17,51.0
1860-8174,1867-03-11,71,4.344262295081967,2.0398971096577174,9.0,0.8595238095238095,8,41,3.1126430801248692,0.9838709677419355,4.3457336108220606,3.467741935483871,22,1,77,18,94.0
1860-30536,1867-03-11,5,2.0,0.6931471805599453,2.0,1.0,3,3,1.6875,0.75,0.1875,0.75,2,0,7,4,5.0
1860-35813,1867-03-11,22,3.210526315789474,1.4300435404382343,5.0,0.875,8,15,4.147500000000001,0.95,1.19,1.9,5,0,25,9,26.0
1860-50385,1867-03-12,70,4.810344827586207,1.3638796852919408,9.0,0.6513157894736842,8,37,3.20310255673657,0.9830508474576272,4.765871875897731,4.254237288135593,29,5,80,6,88.0
1860-70658,1867-03-12,72,4.112903225806452,2.4491976723104867,9.0,0.7935374149659864,7,42,2.936255983875033,0.9841269841269841,2.649029982363316,3.2222222222222223,25,1,96,36,89.0
1860-98093,1867-03-12,32,4.538461538461538,0.6846364908920367,6.0,0.774074074074074,6,18,2.702331961591221,0.9629629629629629,1.6543209876543212,2.888888888888889,10,0,39,3,42.0
1860-89872,1867-03-12,61,5.074074074074074,1.0726697133523848,6.0,0.8439153439153438,7,37,3.1814876033057864,0.9818181818181818,1.1259504132231404,2.7636363636363637,17,3,76,4,76.0
1860-107403,1867-03-12,70,4.344827586206897,1.465662379601883,7.0,0.8267543859649124,8,40,2.931916116058604,0.9830508474576272,1.7184717035334673,3.1016949152542375,12,0,76,6,94.0
1860-34836,1867-03-12,61,5.32,1.3930518016767195,6.0,0.8419934640522877,9,34,4.019223375624759,0.9803921568627451,1.0734332948865821,2.4901960784313726,18,3,71,9,79.0
1860-68824,1867-03-12,31,3.5555555555555554,1.4373117004640128,7.0,0.7916666666666667,6,20,3.5344387755102047,0.9642857142857143,2.525510204081633,2.7857142857142856,9,6,37,8,36.0
1860-98101,1867-03-12,41,3.5555555555555554,1.576668401698523,8.0,0.8076530612244898,7,23,2.837107377647918,0.972972972972973,3.8699780861943025,3.4594594594594597,16,1,56,8,54.0
1860-12590,1867-03-12,50,4.690476190476191,0.8843720917262158,7.0,0.8414814814814815,9,28,3.6041103299080577,0.9767441860465116,1.7901568415359654,2.9767441860465116,10,0,58,3,64.0
1860-50392,1867-03-12,71,5.451612903225806,0.7222294430378118,10.0,0.853174603174603,8,42,2.9680020156210647,0.9841269841269841,4.665658856135048,4.031746031746032,38,16,100,2,91.0
1860-76113,1867-03-13,7,2.0,0.11157177565710491,3.0,0.3333333333333333,3,3,1.3600000000000005,0.8,0.64,1.4,4,0,7,1,9.0
1860-75283,1867-03-13,70,4.964285714285714,2.2110156801898424,8.0,0.7603174603174603,6,36,2.333025546321945,0.9824561403508771,3.6940597106802096,4.087719298245614,36,6,108,36,94.0
1860-32310,1867-03-13,30,4.12,1.4121427420484913,6.0,0.8333333333333334,7,16,3.2677514792899407,0.9615384615384616,1.3032544378698225,2.3461538461538463,8,0,39,11,35.0
1860-32295,1867-03-13,7,3.25,0.5219436944894316,2.0,1.0,4,4,2.560000000000001,0.8,0.16000000000000006,0.8,2,0,11,6,5.0
1860-36029,1867-03-13,20,4.0,1.2824746787307684,3.0,0.9722222222222222,9,12,5.30859375,0.9375,0.33984375,1.3125,4,0,25,13,25.0
1860-32315,1867-03-13,31,2.923076923076923,0.9218552210172882,8.0,0.625,4,17,1.9615912208504795,0.9629629629629629,3.377229080932785,3.259259259259259,14,0,32,2,38.0
1860-118111,1867-03-13,32,3.5357142857142856,0.7673061653138238,10.0,0.6523809523809523,7,19,2.7229488703923894,0.9655172413793104,6.5969084423305615,4.758620689655173,16,1,51,2,41.0
1860-78590,1867-03-13,61,4.115384615384615,0.5704136603356368,9.0,0.6280701754385966,6,33,2.4336062655749378,0.9811320754716981,2.999644001423994,3.981132075471698,28,1,69,1,80.0
