len_group,metric,MannKendall,p,slope,Parser,Corpus
40,depthVar,1,0.0011795353603594,6.960146478479388e-05,stanza,Hansard (en)
40,depthMean,1,0.0031410861618335,3.289473684210552e-05,stanza,Hansard (en)
40,d$_{head-final}$,0,0.2195361612813422,0.0,stanza,Hansard (en)
40,#Crossings,0,0.184056397572224,0.0,stanza,Hansard (en)
40,Height$_{dependency}$,0,0.6220149501526167,0.0,stanza,Hansard (en)
40,d$_{root}$,0,0.2533471164894685,0.0,stanza,Hansard (en)
40,d$_{randomTree}$,0,0.5725405496214975,0.0,stanza,Hansard (en)
50,mDD,0,0.7934585857143779,7.93211696593925e-07,stanza,Hansard (en)
50,nDD,0,0.280075292557596,8.528573744997716e-06,stanza,Hansard (en)
50,Height,0,0.1096324632439345,0.0,stanza,Hansard (en)
50,Ratio$_{head-final}$,2,4.689244007050064e-05,-4.491317381783454e-06,stanza,Hansard (en)
50,treeDegree,2,1.7596021683941032e-05,0.0,stanza,Hansard (en)
50,#Leaves,0,0.0697914820389913,0.0,stanza,Hansard (en)
50,degreeVar,2,0.0021910335686703,-2.261543982413276e-05,stanza,Hansard (en)
50,degreeMean,0,0.5186965847225806,0.0,stanza,Hansard (en)
50,depthVar,1,0.0397461497374957,5.429324234588516e-05,stanza,Hansard (en)
50,depthMean,1,0.0026115806822692,3.701094502981311e-05,stanza,Hansard (en)
50,d$_{head-final}$,0,0.2465714824363416,0.0,stanza,Hansard (en)
50,#Crossings,0,0.7991528666963617,0.0,stanza,Hansard (en)
50,Height$_{dependency}$,0,0.5192440373436991,0.0,stanza,Hansard (en)
50,d$_{root}$,0,0.4187947074205307,0.0,stanza,Hansard (en)
50,d$_{randomTree}$,0,0.5991861097625439,0.0,stanza,Hansard (en)
60,mDD,0,0.0504518595905423,-1.6966406515100217e-05,stanza,Hansard (en)
60,nDD,0,0.0862121611058579,1.390266738754285e-05,stanza,Hansard (en)
60,Height,1,1.0973697794902648e-06,0.0,stanza,Hansard (en)
60,Ratio$_{head-final}$,2,3.9839351491322006e-05,-4.231141199226296e-06,stanza,Hansard (en)
60,treeDegree,2,2.1295464947002077e-08,0.0,stanza,Hansard (en)
60,#Leaves,0,0.1405006557583896,0.0,stanza,Hansard (en)
60,degreeVar,2,0.0001245163204015,-2.6645330465915456e-05,stanza,Hansard (en)
60,degreeMean,0,0.5324412169088151,0.0,stanza,Hansard (en)
60,depthVar,1,1.4729769182153518e-08,0.0001724772919853,stanza,Hansard (en)
60,depthMean,1,1.9567292675048972e-08,7.6385503875166e-05,stanza,Hansard (en)
60,d$_{head-final}$,0,0.2935186478677893,0.0,stanza,Hansard (en)
60,#Crossings,0,0.8099665630011004,0.0,stanza,Hansard (en)
60,Height$_{dependency}$,0,0.9453249843860584,0.0,stanza,Hansard (en)
60,d$_{root}$,0,0.3992821180710442,0.0,stanza,Hansard (en)
60,d$_{randomTree}$,0,0.8841539228881206,0.0,stanza,Hansard (en)
70,mDD,2,0.0084158430894769,-2.380560415365417e-05,stanza,Hansard (en)
70,nDD,1,0.0128726244457164,2.039213912607784e-05,stanza,Hansard (en)
70,Height,1,1.037314383278698e-07,0.0,stanza,Hansard (en)
70,Ratio$_{head-final}$,2,7.675343915991562e-09,-5.510070396956054e-06,stanza,Hansard (en)
70,treeDegree,2,0.0012607276442369,0.0,stanza,Hansard (en)
70,#Leaves,0,0.0632777371019375,0.0,stanza,Hansard (en)
70,degreeVar,2,0.0002022784616833,-2.398225313268225e-05,stanza,Hansard (en)
70,degreeMean,1,0.0129038729135126,0.0,stanza,Hansard (en)
70,depthVar,1,5.7996565994145044e-08,0.0001943071978916,stanza,Hansard (en)
70,depthMean,1,5.1966881908782625e-09,8.822132179406639e-05,stanza,Hansard (en)
70,d$_{head-final}$,1,0.0009023379763626,0.0,stanza,Hansard (en)
70,#Crossings,0,0.1550180817855626,0.0,stanza,Hansard (en)
70,Height$_{dependency}$,0,0.9790515588431103,0.0,stanza,Hansard (en)
70,d$_{root}$,0,0.2235340325084611,0.0,stanza,Hansard (en)
70,d$_{randomTree}$,0,0.6798269372127868,0.0,stanza,Hansard (en)
5,mDD,0,0.1739112438932499,0.0,biaffine,Hansard (en)
5,nDD,1,1.0548994988646144e-07,4.295461884690799e-06,biaffine,Hansard (en)
5,Height,2,2.942261589922168e-08,0.0,biaffine,Hansard (en)
5,Ratio$_{head-final}$,1,8.675345330999562e-09,0.0,biaffine,Hansard (en)
5,treeDegree,1,1.554312234475219e-14,0.0,biaffine,Hansard (en)
5,#Leaves,1,2.453592884421596e-13,0.0,biaffine,Hansard (en)
5,degreeVar,1,2.220446049250313e-15,0.0,biaffine,Hansard (en)
5,degreeMean,1,0.000705772653857,0.0,biaffine,Hansard (en)
5,depthVar,2,5.105027511831395e-12,0.0,biaffine,Hansard (en)
5,depthMean,2,2.808902621609377e-08,0.0,biaffine,Hansard (en)
5,d$_{head-final}$,2,5.905520072957415e-09,0.0,biaffine,Hansard (en)
5,#Crossings,0,0.8349487961351136,0.0,biaffine,Hansard (en)
5,Height$_{dependency}$,0,0.5328348501099764,0.0,biaffine,Hansard (en)
5,d$_{root}$,1,0.0311372214920033,0.0,biaffine,Hansard (en)
5,d$_{randomTree}$,0,0.8751174210301287,0.0,biaffine,Hansard (en)
10,mDD,0,0.957380486554555,0.0,biaffine,Hansard (en)
10,nDD,0,0.7044322233984759,0.0,biaffine,Hansard (en)
10,Height,2,0.0171197124411677,0.0,biaffine,Hansard (en)
10,Ratio$_{head-final}$,1,0.0076423469044346,6.773782944631827e-20,biaffine,Hansard (en)
10,treeDegree,0,0.1138569830426139,0.0,biaffine,Hansard (en)
10,#Leaves,0,0.1304457263018172,0.0,biaffine,Hansard (en)
10,degreeVar,1,0.0174879491777646,0.0,biaffine,Hansard (en)
10,degreeMean,0,0.5692016902521557,0.0,biaffine,Hansard (en)
10,depthVar,2,0.0245374618642195,-4.268199116687485e-06,biaffine,Hansard (en)
10,depthMean,2,0.0043298414108006,-4.985964524902642e-06,biaffine,Hansard (en)
10,d$_{head-final}$,2,0.0456191549050171,0.0,biaffine,Hansard (en)
10,#Crossings,0,0.0939964401651112,0.0,biaffine,Hansard (en)
10,Height$_{dependency}$,0,0.0630114684273923,0.0,biaffine,Hansard (en)
10,d$_{root}$,0,0.910790051479766,0.0,biaffine,Hansard (en)
10,d$_{randomTree}$,0,0.9381271751851484,0.0,biaffine,Hansard (en)
15,mDD,0,0.2493547708721282,0.0,biaffine,Hansard (en)
15,nDD,0,0.1347660658133938,-7.8218901952737e-06,biaffine,Hansard (en)
15,Height,0,0.1917850086318653,0.0,biaffine,Hansard (en)
15,Ratio$_{head-final}$,1,0.0363541852795163,3.110903717529937e-06,biaffine,Hansard (en)
15,treeDegree,0,0.3366141420471247,0.0,biaffine,Hansard (en)
15,#Leaves,0,0.054024862411653,0.0,biaffine,Hansard (en)
15,degreeVar,1,0.0061520744531096,9.689794394885412e-06,biaffine,Hansard (en)
15,degreeMean,0,0.565394614090764,0.0,biaffine,Hansard (en)
15,depthVar,0,0.1680403542089208,-1.0297600503770546e-05,biaffine,Hansard (en)
15,depthMean,2,0.0264274330001494,-8.692779777117137e-06,biaffine,Hansard (en)
15,d$_{head-final}$,2,0.0061990242517577,0.0,biaffine,Hansard (en)
15,#Crossings,0,0.2529259597167002,0.0,biaffine,Hansard (en)
15,Height$_{dependency}$,0,0.4693862648728968,0.0,biaffine,Hansard (en)
15,d$_{root}$,0,0.4816408867006669,0.0,biaffine,Hansard (en)
15,d$_{randomTree}$,0,0.1007662009628271,0.0,biaffine,Hansard (en)
20,mDD,0,0.5850198444064143,0.0,biaffine,Hansard (en)
20,nDD,0,0.5508216281639728,-3.3364649436654644e-06,biaffine,Hansard (en)
20,Height,1,0.0435595529509675,0.0,biaffine,Hansard (en)
20,Ratio$_{head-final}$,2,0.0467069494444152,-2.958623648278862e-06,biaffine,Hansard (en)
20,treeDegree,0,0.0779291546047864,0.0,biaffine,Hansard (en)
20,#Leaves,0,0.8296091585619412,0.0,biaffine,Hansard (en)
20,degreeVar,0,0.0784059259709295,-5.284507691728188e-06,biaffine,Hansard (en)
20,degreeMean,0,0.078370832602518,0.0,biaffine,Hansard (en)
20,depthVar,1,0.0244652903190205,2.6387287951013734e-05,biaffine,Hansard (en)
20,depthMean,0,0.1012918705302352,9.769727522299368e-06,biaffine,Hansard (en)
20,d$_{head-final}$,0,0.1793394211030088,0.0,biaffine,Hansard (en)
20,#Crossings,0,0.215815952209825,0.0,biaffine,Hansard (en)
20,Height$_{dependency}$,0,0.2961796492958717,0.0,biaffine,Hansard (en)
20,d$_{root}$,0,0.5486050736991417,0.0,biaffine,Hansard (en)
20,d$_{randomTree}$,0,0.937563262968097,0.0,biaffine,Hansard (en)
30,mDD,0,0.3079128248914013,-6.050031368960591e-06,biaffine,Hansard (en)
30,nDD,1,0.0165611859025673,1.6720830655228197e-05,biaffine,Hansard (en)
30,Height,0,0.1534816591063261,0.0,biaffine,Hansard (en)
30,Ratio$_{head-final}$,0,0.1407081054935177,-1.963093835885298e-06,biaffine,Hansard (en)
30,treeDegree,2,0.0020757988509392,0.0,biaffine,Hansard (en)
30,#Leaves,0,0.5544034355156049,0.0,biaffine,Hansard (en)
30,degreeVar,0,0.13863778928063,-5.921648338233508e-06,biaffine,Hansard (en)
30,degreeMean,0,0.6644499635228323,0.0,biaffine,Hansard (en)
30,depthVar,0,0.1066304178721708,2.7350328636623425e-05,biaffine,Hansard (en)
30,depthMean,0,0.1436415758600255,1.3654578738255666e-05,biaffine,Hansard (en)
30,d$_{head-final}$,1,0.0496180598631037,0.0,biaffine,Hansard (en)
30,#Crossings,0,0.525287325636995,0.0,biaffine,Hansard (en)
30,Height$_{dependency}$,0,0.2529165160316222,0.0,biaffine,Hansard (en)
30,d$_{root}$,0,0.0813888533172699,0.0,biaffine,Hansard (en)
30,d$_{randomTree}$,0,0.8228946063964149,0.0,biaffine,Hansard (en)
40,mDD,0,0.4018406524497451,-5.481277718435421e-06,biaffine,Hansard (en)
40,nDD,0,0.1260061283314233,1.1491021180492404e-05,biaffine,Hansard (en)
40,Height,1,0.0020435227699728,0.0,biaffine,Hansard (en)
40,Ratio$_{head-final}$,0,0.2508888919471563,-1.3416174361112363e-06,biaffine,Hansard (en)
40,treeDegree,0,0.144420977785004,0.0,biaffine,Hansard (en)
40,#Leaves,0,0.6783903666820721,0.0,biaffine,Hansard (en)
40,degreeVar,0,0.241715445573496,-5.605059354442859e-06,biaffine,Hansard (en)
40,degreeMean,0,0.080075157402637,0.0,biaffine,Hansard (en)
40,depthVar,1,0.0022872198527785,6.23373470668161e-05,biaffine,Hansard (en)
40,depthMean,1,0.0108848105228709,2.7940603233205524e-05,biaffine,Hansard (en)
40,d$_{head-final}$,0,0.5436935835343237,0.0,biaffine,Hansard (en)
40,#Crossings,2,0.0006545736002252,0.0,biaffine,Hansard (en)
40,Height$_{dependency}$,0,0.96630137858882,0.0,biaffine,Hansard (en)
40,d$_{root}$,0,0.202427858826258,0.0,biaffine,Hansard (en)
40,d$_{randomTree}$,0,0.6959629194590642,0.0,biaffine,Hansard (en)
50,mDD,0,0.8157435005153024,4.614263595355126e-07,biaffine,Hansard (en)
50,nDD,0,0.3359687991799034,7.731346249885498e-06,biaffine,Hansard (en)
50,Height,0,0.8461951576563382,0.0,biaffine,Hansard (en)
50,Ratio$_{head-final}$,2,0.0001446701552525,-4.136353982109131e-06,biaffine,Hansard (en)
50,treeDegree,2,0.0008498635174247,0.0,biaffine,Hansard (en)
50,#Leaves,2,0.0127804941635292,0.0,biaffine,Hansard (en)
50,degreeVar,2,0.0491583611082477,-1.3263109573531184e-05,biaffine,Hansard (en)
50,degreeMean,0,0.5611270667056338,0.0,biaffine,Hansard (en)
50,depthVar,0,0.5719176420399057,1.3788011022943713e-05,biaffine,Hansard (en)
50,depthMean,0,0.0615853210506163,2.234736748011086e-05,biaffine,Hansard (en)
50,d$_{head-final}$,0,0.1892963553194171,0.0,biaffine,Hansard (en)
50,#Crossings,0,0.2364879791079863,0.0,biaffine,Hansard (en)
50,Height$_{dependency}$,0,0.9983765307087418,0.0,biaffine,Hansard (en)
50,d$_{root}$,0,0.4242186191919883,0.0,biaffine,Hansard (en)
50,d$_{randomTree}$,0,0.4898345061041309,0.0,biaffine,Hansard (en)
60,mDD,0,0.3167917458234024,-8.635205733776707e-06,biaffine,Hansard (en)
60,nDD,0,0.1086835581604106,1.3163605644972014e-05,biaffine,Hansard (en)
60,Height,1,0.0001654922008382,0.0,biaffine,Hansard (en)
60,Ratio$_{head-final}$,2,0.0112389191136172,-2.5334142924812976e-06,biaffine,Hansard (en)
60,treeDegree,2,2.2318497009621296e-05,0.0,biaffine,Hansard (en)
60,#Leaves,2,0.033869708343637,0.0,biaffine,Hansard (en)
60,degreeVar,2,0.0115480306717801,-1.6462191640087587e-05,biaffine,Hansard (en)
60,degreeMean,0,0.5340272491019471,0.0,biaffine,Hansard (en)
60,depthVar,1,3.680371423619988e-06,0.0001276489764812,biaffine,Hansard (en)
60,depthMean,1,1.1061564109127177e-07,6.85573546338665e-05,biaffine,Hansard (en)
60,d$_{head-final}$,0,0.3760724448386319,0.0,biaffine,Hansard (en)
60,#Crossings,0,0.1835493325239585,0.0,biaffine,Hansard (en)
60,Height$_{dependency}$,0,0.7464062883776934,0.0,biaffine,Hansard (en)
60,d$_{root}$,0,0.3135366639895174,0.0,biaffine,Hansard (en)
60,d$_{randomTree}$,0,0.2908262134345358,0.0,biaffine,Hansard (en)
70,mDD,2,0.0152843836534115,-2.204121174203772e-05,biaffine,Hansard (en)
70,nDD,0,0.0535551133941885,1.6207059040935585e-05,biaffine,Hansard (en)
70,Height,1,2.862709047590784e-07,0.0,biaffine,Hansard (en)
70,Ratio$_{head-final}$,2,5.511917966494195e-08,-5.106318984920343e-06,biaffine,Hansard (en)
70,treeDegree,2,0.0429513238042453,0.0,biaffine,Hansard (en)
70,#Leaves,2,0.0255571623526982,0.0,biaffine,Hansard (en)
70,degreeVar,2,0.0011664511063063,-1.9884672409147108e-05,biaffine,Hansard (en)
70,degreeMean,1,0.0132310311234509,0.0,biaffine,Hansard (en)
70,depthVar,1,5.217907397270238e-07,0.0001512226351533,biaffine,Hansard (en)
70,depthMean,1,6.410427744185654e-11,9.054766545170084e-05,biaffine,Hansard (en)
70,d$_{head-final}$,0,0.0992671997469478,0.0,biaffine,Hansard (en)
70,#Crossings,2,0.0064654742455176,0.0,biaffine,Hansard (en)
70,Height$_{dependency}$,0,0.6540351465918304,0.0,biaffine,Hansard (en)
70,d$_{root}$,0,0.4530881752322819,0.0,biaffine,Hansard (en)
70,d$_{randomTree}$,0,0.6163424831642472,0.0,biaffine,Hansard (en)
5,mDD,0,0.3799445140665871,0.0,corenlp,Hansard (en)
5,nDD,1,5.92700676760316e-07,0.0,corenlp,Hansard (en)
5,Height,2,6.851027447418723e-05,0.0,corenlp,Hansard (en)
5,Ratio$_{head-final}$,1,0.0125050087689559,0.0,corenlp,Hansard (en)
5,treeDegree,1,6.587386192080658e-10,0.0,corenlp,Hansard (en)
5,#Leaves,1,1.2842371610588543e-10,0.0,corenlp,Hansard (en)
5,degreeVar,1,5.965228311310966e-12,0.0,corenlp,Hansard (en)
5,degreeMean,1,0.0004002065258725,0.0,corenlp,Hansard (en)
5,depthVar,2,3.1317683690801346e-07,0.0,corenlp,Hansard (en)
5,depthMean,2,0.0007362176362966,0.0,corenlp,Hansard (en)
5,d$_{head-final}$,2,0.0008217003251116,0.0,corenlp,Hansard (en)
5,#Crossings,0,1.0,0.0,corenlp,Hansard (en)
5,Height$_{dependency}$,0,0.5352489480569436,0.0,corenlp,Hansard (en)
5,d$_{root}$,0,0.1482593241395582,0.0,corenlp,Hansard (en)
5,d$_{randomTree}$,0,0.3842084218156505,0.0,corenlp,Hansard (en)
10,mDD,0,0.5168460525884131,0.0,corenlp,Hansard (en)
10,nDD,0,0.2996138225143712,-3.516200460957169e-06,corenlp,Hansard (en)
10,Height,0,0.7857710831970159,0.0,corenlp,Hansard (en)
10,Ratio$_{head-final}$,0,0.2959161687562079,0.0,corenlp,Hansard (en)
10,treeDegree,0,0.3156985471360378,0.0,corenlp,Hansard (en)
10,#Leaves,0,0.0964120541010449,0.0,corenlp,Hansard (en)
10,degreeVar,0,0.1359318457512079,0.0,corenlp,Hansard (en)
10,degreeMean,0,0.6152334994985043,0.0,corenlp,Hansard (en)
10,depthVar,0,0.9385804211119562,0.0,corenlp,Hansard (en)
10,depthMean,0,0.7627237300718654,0.0,corenlp,Hansard (en)
10,d$_{head-final}$,0,0.3059121708339081,0.0,corenlp,Hansard (en)
10,#Crossings,0,1.0,0.0,corenlp,Hansard (en)
10,Height$_{dependency}$,2,0.0381402651804529,0.0,corenlp,Hansard (en)
10,d$_{root}$,2,0.049077481533184,0.0,corenlp,Hansard (en)
10,d$_{randomTree}$,0,0.4333559816999008,0.0,corenlp,Hansard (en)
15,mDD,0,0.3482058347339292,0.0,corenlp,Hansard (en)
15,nDD,0,0.0587650996761797,-1.0269667106721703e-05,corenlp,Hansard (en)
15,Height,0,0.6941981288279389,0.0,corenlp,Hansard (en)
15,Ratio$_{head-final}$,0,0.8588465990277343,0.0,corenlp,Hansard (en)
15,treeDegree,0,0.5669765556781474,0.0,corenlp,Hansard (en)
15,#Leaves,0,0.1060941205966341,0.0,corenlp,Hansard (en)
15,degreeVar,1,0.0237967252819697,7.850298337460448e-06,corenlp,Hansard (en)
15,degreeMean,0,0.5440151488591689,0.0,corenlp,Hansard (en)
